VehicleID,Amount (Million Naira)
VHL18518,8.696934611584778
VHL17149,6.262835805185598
VHL10927,4.363954897946851
VHL12909,4.445571048297221
VHL12348,8.824015467764942
VHL10798,34.50986480038927
VHL11022,2.4971721577029293
VHL12206,6.279168460083866
VHL11697,13.590539126864648
VHL12313,6.0113078230167085
VHL13411,20.120005994708457
VHL14334,3.735906212663901
VHL14302,5.715501943610685
VHL13979,4.3787955759944
VHL12272,2.0090726852210863
VHL15071,6.797637354855173
VHL19166,5.677170391508912
VHL10471,2.498532445588086
VHL18431,3.011963478832937
VHL12325,9.642827395573985
VHL15657,3.2031431108364785
VHL13667,20.34651620825339
VHL18913,3.6945392971585407
VHL13273,9.051691506182394
VHL16576,1.0484904568544688
VHL15506,3.1713987514720245
VHL10460,38.271175935461265
VHL16050,2.0407702735294877
VHL17918,5.801323143717003
VHL12992,6.009541693150589
VHL10261,11.788735317306324
VHL18348,6.439682068902749
VHL11577,7.050294751744705
VHL16957,6.412637989593445
VHL16165,14.500711910335674
VHL11441,5.088646793484371
VHL19990,3.0437649425761273
VHL14072,4.644214736864125
VHL13637,2.1434632768525996
VHL10757,19.39836688235684
VHL12657,7.876540913611483
VHL19939,15.644905967264227
VHL12094,12.670252495460687
VHL17177,3.2676722030145027
VHL16720,14.288111073205792
VHL11478,26.80264202402923
VHL14386,12.433015809080791
VHL11341,8.061278277356188
VHL18683,8.26739640033235
VHL13430,29.172663251361865
VHL18932,3.526757014485506
VHL17505,8.561125199173386
VHL16272,4.364552773974826
VHL14777,4.520421718360873
VHL13186,10.989565095629084
VHL19383,1.7362304516794407
VHL14605,12.69540592932975
VHL11440,19.909311356349644
VHL14303,13.955724785340143
VHL19478,5.016116261762735
VHL17837,3.029603788278155
VHL12824,6.802355187968519
VHL17476,4.571705973166661
VHL18988,1.962964705682344
VHL19482,7.361294039915461
VHL13263,3.5524480889272163
VHL17078,-0.8534204246712124
VHL19170,2.7251505829794525
VHL18070,3.5347618319875522
VHL18061,13.786688484737326
VHL10726,3.042627990415564
VHL19212,3.3144098344559687
VHL13283,3.124171503884265
VHL14023,13.669037652805835
VHL16973,37.873249156400256
VHL19653,14.848653165846741
VHL18605,13.98733274880201
VHL13287,10.836369102394803
VHL15719,2.2199783968194713
VHL19636,7.482132042891158
VHL11009,12.790306256791686
VHL18087,3.5601107193099324
VHL14422,4.234924345287592
VHL15789,41.95453024484261
VHL12369,7.856053562610458
VHL15812,4.413594992715659
VHL18767,271.83572106911015
VHL19271,23.870627852639142
VHL17403,3.3795057812466247
VHL12967,3.5179007644269493
VHL19998,9.756281724411176
VHL12336,3.7656854533004918
VHL10328,3.2615104082222595
VHL18908,1.9940221849559807
VHL11127,5.35957722486598
VHL12655,17.010104893924762
VHL19086,48.07400932887513
VHL10384,11.955006618314599
VHL15712,16.694847764665543
VHL11054,18.736875452450125
VHL16505,6.316551312511979
VHL10534,2.6734736017445866
VHL14120,2.6615911330642557
VHL10206,7.087139884354791
VHL13595,11.812207998205073
VHL15887,5.751474172343204
VHL12672,4.6475873628479425
VHL19770,6.6627308744917775
VHL13026,12.732998733350515
VHL12635,10.477935962053964
VHL14014,4.521671868153221
VHL19238,4.728203953193279
VHL18156,4.339609619041911
VHL13087,5.051862936091369
